| Ticker | Country | Exchange | Industry | Market Cap | P/FCF | Shares % | EBIT/Interest | Gross Profit % | EPS | P/B | FCF Margin % | FCF Yield % | Free Cash Flow | Debt/Equity | Debt Ratio | Net Profit % | Revenue Growth % | Net Growth % | P/E | Return on Equity % | Current Ratio |
|--------|---------|----------|----------|------------|-------|----------|---------------|----------------|-----|-----|--------------|-------------|----------------|-------------|------------|--------------|------------------|--------------|-----|-------------------|---------------|
| MSGM | US | NasdaqCM | Entertainment | $14.17M | 10.7 | — | 3.3 | 72.5% | $0.81 | 2.3 | -104.8% | 9.4% | $1.24M | 0.0 | 0.0 | 36.6% | 11.4% | 29.9% | 3.2 | 76.9% | 1.9 |
| SLDE | US | NasdaqGS | Insurance | $2,099.25M | 3.8 | — | 133.7 | 62.4% | $4.56 | 2.1 | — | 26.6% | $531.02M | 0.0 | 0.0 | 33.3% | 37.4% | 119.1% | 5.9 | 52.3% | 1.9 |
| GQG | US | ASX | Capital Markets | $5,467.29M | 6.5 | — | 7,887.8 | 82.5% | $0.16 | 6.6 | 56.7% | 15.4% | $436.66M | 0.1 | 0.1 | 57.5% | 24.4% | 29.7% | 6.0 | 113.9% | 6.8 |
| DGX | US | NasdaqGS | Biotechnology | $916.46M | 19.3 | 1.4% | 1.7 | 83.1% | $6.35 | 7.1 | 47.6% | 8.1% | $68.18M | 0.5 | 0.3 | 40.2% | 29.1% | 2,819.6% | 7.8 | 220.1% | 2.3 |
| NMIH | US | NasdaqGM | Financial Services | $2,932.51M | 7.5 | -1.9% | 18.2 | 78.1% | $4.87 | 1.2 | 58.4% | 13.4% | $386.85M | 0.2 | 0.1 | 55.0% | 8.9% | 6.6% | 7.9 | 16.2% | 2.2 |
| UAN | US | NYSE | Chemicals | $1,020.60M | 7.4 | -1.0% | 5.8 | 45.0% | $12.04 | 3.2 | 24.6% | 13.4% | $138.45M | 1.8 | 0.6 | 20.7% | 16.5% | 142.0% | 8.1 | 42.0% | 2.7 |
| INVX | US | NYSE | Energy Equipment and Services | $1,517.79M | 10.4 | — | 41.9 | 33.0% | $2.10 | 1.3 | — | 9.6% | $124.72M | 0.1 | 0.1 | 16.7% | 63.4% | 141.7% | 9.0 | 21.4% | 4.6 |
| PHIG | US | OTCPK | Energy Equipment and Services | $771.85M | 10.2 | 0.1% | 28.8 | 20.8% | $3.33 | 1.5 | -0.1% | 9.8% | $74.97M | 0.2 | 0.1 | 11.4% | 15.8% | 74.2% | 9.7 | 20.5% | 2.8 |
| LRN | US | NYSE | Diversified Consumer Services | $2,749.69M | 7.5 | 1.6% | 39.3 | 39.2% | $7.32 | 1.9 | 13.0% | 13.3% | $377.62M | 0.4 | 0.3 | 12.8% | 17.3% | 31.5% | 10.3 | 23.0% | 6.8 |
| CHCI | US | NasdaqCM | Real Estate Management and Development | $137.70M | 20.0 | 4.5% | — | 24.2% | $1.39 | 2.5 | 19.6% | 5.0% | $7.02M | 0.1 | 0.1 | 24.9% | 23.0% | 127.8% | 10.5 | 28.4% | 7.1 |
| HRMY | US | NasdaqCM | Pharmaceuticals | $2,032.58M | 6.7 | 0.2% | 14.7 | 77.7% | $3.23 | 2.4 | 33.0% | 15.0% | $296.89M | 0.2 | 0.1 | 22.5% | 21.1% | 51.4% | 10.8 | 25.9% | 3.8 |
| BBW | US | NYSE | Specialty Retail | $683.58M | 13.5 | -3.0% | — | 56.3% | $4.48 | 4.1 | 8.1% | 7.4% | $46.75M | 0.7 | 0.3 | 11.3% | 8.1% | 18.2% | 10.9 | 42.1% | 1.8 |
| RYN | US | NYSE | Specialized REITs | $3,418.12M | 28.3 | 2.5% | 12.5 | 38.4% | $5.02 | 1.8 | -0.4% | 3.5% | $146.55M | 0.5 | 0.3 | 61.4% | 40.5% | 409.4% | 11.1 | 35.9% | 3.5 |
| MGRC | US | NasdaqGS | Trading Companies and Distributors | $2,536.97M | 9.8 | 0.4% | 6.4 | 47.4% | $10.27 | 2.4 | 7.4% | 10.2% | $288.92M | 0.5 | 0.2 | 26.8% | 8.8% | 117.9% | 11.2 | 23.8% | 1.9 |
| FHI | US | NYSE | Capital Markets | $3,708.04M | 13.8 | -5.0% | 36.9 | 66.6% | $4.52 | 3.4 | 20.1% | 7.3% | $277.70M | 0.4 | 0.2 | 21.7% | 5.5% | 43.9% | 11.5 | 31.4% | 3.4 |
